target,window,key,donor_r,status,Tc,moment_err
AsZr,0.15,400,1.251848147275931,ok,8.797532967667063,1.0365559521829937e-09
AsZr,0.15,630,1.3228530138509245,ok,8.822137740365601,2.820101929756902e-10
AsZr,0.15,511,1.3940162954417472,ok,8.830098108003362,2.3486890210477895e-09
AsZr,0.15,571,1.2449289984344638,ok,8.832992787144367,2.617905892066119e-13
AsZr,0.15,402,1.1421309306183856,tilt_failed,,
AsZr,0.15,817,1.1334106835406128,tilt_failed,,
AsZr,0.15,594,1.1201904677318644,tilt_failed,,
AsZr,0.15,319,1.2982022868066938,ok,8.791019939599803,5.701883409869879e-12
AsZr,0.15,166,1.163640736073686,ok,8.851808201560896,1.723066134218243e-13
AsZr,0.15,501,1.2897122051975274,ok,8.79029626981455,3.268274539891536e-12
AsZr,0.15,500,1.0860823441511978,tilt_failed,,
AsZr,0.15,782,1.1483026716648268,tilt_failed,,
AsZr,0.15,544,1.1190120836294777,tilt_failed,,
AsZr,0.15,152,1.2889213397543617,ok,8.805493335304824,3.361711908844711e-09
AsZr,0.15,486,1.0681606550782332,tilt_failed,,
AsZr,0.15,68,1.3984362609311423,ok,8.799703977022816,8.881784197001252e-15
AsZr,0.15,761,1.2663314026180976,ok,8.812006363372085,7.033040816395442e-12
AsZr,0.15,16,1.3560845507149728,ok,8.811282693586833,2.76445533131664e-13
AsZr,0.15,595,1.1108004815198855,tilt_failed,,
AsZr,0.15,49,1.177109438002338,ok,8.838058475641127,6.061817714453355e-14
