key,formula,source_name,lam,w_log,w_2,w_ratio,w_max,Tc_AD,Tc_AD13,Tc_ME,Tc_ME13,ad_error,ad_error_mu13,secs
140,Cu2La,La1Cu2_mp_2051,0.4384746239894427,10.000816216497896,12.082029993873093,1.208104391913723,25.4502856299,0.8057871413301684,0.4108386798159043,0.830783940683913,0.4793208554260169,0.030550146887248008,0.15416958656379792,0.3644118309020996
141,AsBaPd,Ba1As1Pd1_mp_9744,0.5743479234928515,10.026670945086952,12.157801704610568,1.2125461951624,26.3503029479,2.387220485289134,1.6245931094945376,2.401387790189717,1.7324648348093403,0.005917103851955778,0.06428776423693844,0.1417276859283447
142,Ca2Rh,Ca2Rh1_mp_1063314,0.1967846479088222,10.109857070652328,13.77064143520221,1.3621005063639018,27.8501957543,3.998647905996961e-05,2.3847778089204227e-09,0.0,0.0,,,23.62796759605408
143,RhTe2,Te2Rh1_mp_228,0.6860461291760709,10.120435427412886,13.201249400954266,1.304415160359255,25.050277933,4.03750179943645,3.0502757261286484,3.87507339376092,2.987222982627845,-0.04106153127818687,-0.02088780106456111,0.0886809825897216
144,In3La,La1In3_mp_20729,0.4136941203264539,10.148662120073643,11.560978025769163,1.139162767366352,18.4501509341,0.6054075210164207,0.2801830036227732,0.6123227546041097,0.3116272099961986,0.011357700573300352,0.10636465962052326,0.4071393013000488
145,Au2La2Sb4,La2Sb4Au2_mp_644143,0.2586395517302235,10.168638396019569,12.008950305186245,1.1809791869368715,19.9501797975,0.0102255162070338,0.0005270844515071,0.0132441799151209,0.0,0.25867201879392715,,31.10779070854187
146,HfTe2,Hf1Te2_mp_32887,0.4072439031891977,10.220594886070938,11.321754507992962,1.1077392885831656,23.3502452212,0.55919554508015,0.251347774495869,0.6056435770052797,0.3183750438142225,0.07979243198731545,0.23639253502233756,0.557487964630127
147,MnPtSb,Mn1Sb1Pt1_mp_567480,0.2846591347401931,10.225468419390069,15.55599690738277,1.5212991981750854,30.7502515568,0.0335148862484128,0.0039238237724492,0.038908366233983,,0.1492195920283244,,18.947924852371216
148,Br2Cu,Cu1Br2_mp_2360071,0.3141059907901095,10.300050084446628,14.508245383391214,1.4085606637291097,31.2357030747,0.0898987631036576,0.0183975495227071,0.0998435832543269,0.0309573610187976,0.10492061114138462,0.5203933290453935,12.303131580352783
149,Ag3In,In1Ag3_mp_30343,0.3973198770398514,10.351523830735204,11.538923304385316,1.1147076984090545,19.8501778733,0.4924668452018274,0.2107791804074592,0.5158445672186942,0.2513419909733176,0.04637835482450236,0.17600347847084744,0.4573900699615478
150,In2IrLi,Li1In2Ir1_mp_31208,0.3679790433271522,10.430875489772529,15.287089914638887,1.465561536960908,42.5503425584,0.3090656841400579,0.1105274115908919,0.3487792865619081,0.1702598104200526,0.12088548107407217,0.4320620080923783,3.73520565032959
151,Li2PtSb,Li2Sb1Pt1_mp_3158,0.4708270264888164,10.431391094670968,18.55002503020244,1.778288711625336,49.6504791785,1.1727503666472197,0.6592584026865951,1.1273927182640833,0.7263387916092722,-0.039444093095974006,0.09690099010496388,0.8902420997619629
152,AgZn,Zn1Ag1_mp_1912,0.3702017125325079,10.448396959877844,13.46716180781115,1.2889213397543615,23.6502509938,0.3219169132135521,0.1169662767343862,0.3225162687574028,0.1388567968636913,0.001860101973119292,0.17155750346843787,1.0497562885284424
153,Ni4ScSn,Sc1Ni4Sn1_JVASP_16659,0.6378701081913472,10.478227830795303,15.028109293232522,1.43422242156877,44.0503714218,3.4408961773795537,2.5031856485030546,3.363295540943412,2.593780541726554,-0.022810645090242235,0.03555229995514083,0.1914842128753662
154,Au2Y,Y1Au2_mp_1018113,0.1884414583383389,10.483213480708915,13.408775563164475,1.2790711157260268,24.5460505436,1.0351284746814113e-05,3.9596848630530016e-11,0.0,0.0,,,32.277179479599
155,AuBiCa,Ca1Bi1Au1_mp_568398,0.179450136786839,10.531430554679488,12.585015660852646,1.1949958360842703,24.0502586907,1.6330096671690958e-06,6.0709798595184e-14,0.0,0.0,,,118.16407680511476
156,MnNiSb,Mn1Ni1Sb1_mp_600124,0.6110441725872855,10.543080718206554,14.681865427929568,1.392559330649519,34.350320829,3.053784182509204,2.1659772252498306,2.9440887801390554,2.1921862234133256,-0.03658218043541637,0.012027687548869237,0.1670143604278564
157,Li3Tl,Li3Tl1_mp_7396,0.5517614655780168,10.582132382639168,21.31967711517008,2.0146862980231384,46.4504176032,2.20991019718817,1.4572095308536734,1.864953948040202,1.2852718740876732,-0.1697155198964931,-0.12555305552250542,0.4071550369262695
158,MgNi2Sb,Mg1Ni2Sb1_JVASP_18741,0.4435409613011721,10.62112919659429,13.05546814256862,1.2291977529804377,36.5503631619,0.9051669228954784,0.4695156325951641,0.9816772093953564,0.601519953883199,0.08114317510128578,0.2477581140463171,0.7209663391113281
159,Ga2LiRu,Li1Ga2Ru1_JVASP_17757,0.743958085949433,10.676871011599465,15.053294292856982,1.4098975511180123,53.0504085451,5.198547242734401,4.065047927691609,5.180367996416942,4.269005496192803,-0.003503114629918925,0.04895536198079379,0.1785924434661865
160,GaNi2Ti,Ti1Ga1Ni2_JVASP_18706,0.736509065935749,10.736324849289009,14.45815565967362,1.3466578054063896,34.4503227532,5.101528092613769,3.974124501655804,4.960409215509376,3.970348291078981,-0.028051880393542956,-0.0009506510903199033,0.1228344440460205
161,GaIrSc2,Sc2Ga1Ir1_JVASP_39117,0.4114772402196639,10.761826583077982,15.53750623838694,1.4437610677371713,39.250415116,0.6247803051702966,0.2862012558000337,0.6530749321878644,0.3644149352291567,0.04429179714947189,0.24159789540237522,1.2153234481811523
162,Ag2MgZn,Mg1Zn1Ag2_mp_11236,0.3058580942734237,10.80190290113907,14.95773963531152,1.3847319099428506,32.0502765718,0.0737700892293869,0.0132556226040791,0.0878897254536326,0.0256201982889739,0.17512955436444938,0.6589592261551342,16.82956838607788
163,BiCuMg,Mg1Cu1Bi1_mp_30449,0.1823818952805679,10.80340503057272,14.32791043200674,1.3262402355053773,30.1502400115,3.2154199241641186e-06,7.054605144270793e-13,0.0,0.0,,,132.40378141403198
164,Tl3Y,Y1Tl3_mp_2393,0.8786787140185315,10.806194712927391,12.218434569421737,1.1306879890665755,16.4501124496,7.395542621413636,6.113447217165371,7.263467218399008,5.960363339304672,-0.01802017714343091,-0.025359364559077523,0.0417826175689697
